Harga,LuasTanah,LuasBangunan,JumlahKamarTidur,JumlahKamarMandi,Garasi,Kota
17000000000.0,440,350,4,4,ADA,JAKSEL
7900000000.0,356,450,4,3,ADA,JAKSEL
18600000000.0,474,455,4,4,TIDAK ADA,JAKSEL
35000000000.0,1200,900,6,6,ADA,JAKSEL
25000000000.0,670,650,3,3,TIDAK ADA,JAKSEL
22000000000.0,754,500,4,4,ADA,JAKSEL
68000000000.0,2595,1000,5,5,ADA,JAKSEL
6500000000.0,266,350,4,4,ADA,JAKSEL
2500000000.0,200,120,3,3,ADA,JAKSEL
22000000000.0,754,500,4,4,ADA,JAKSEL
22000000000.0,888,450,4,3,ADA,JAKSEL
5100000000.0,120,210,4,3,TIDAK ADA,JAKSEL
9200000000.0,231,389,3,3,ADA,JAKSEL
36000000000.0,1200,850,5,4,TIDAK ADA,JAKSEL
7900000000.0,205,357,4,4,TIDAK ADA,JAKSEL
5800000000.0,250,350,4,4,ADA,JAKSEL
11000000000.0,230,350,4,4,ADA,JAKSEL
4900000000.0,340,210,3,2,ADA,JAKSEL
23000000000.0,806,700,4,4,ADA,JAKSEL
17000000000.0,440,350,4,4,ADA,JAKSEL
8200000000.0,188,330,3,3,ADA,JAKSEL
9500000000.0,251,295,4,4,ADA,JAKSEL
6500000000.0,266,350,4,3,ADA,JAKSEL
27000000000.0,900,400,4,3,ADA,JAKSEL
16500000000.0,600,400,7,4,ADA,JAKSEL
35000000000.0,2000,800,4,4,TIDAK ADA,JAKSEL
6200000000.0,142,311,3,2,ADA,JAKSEL
15000000000.0,912,484,6,3,ADA,JAKSEL
9500000000.0,251,295,4,4,ADA,JAKSEL
23000000000.0,806,700,4,4,ADA,JAKSEL
7370000000.0,211,465,4,4,ADA,JAKSEL
19500000000.0,850,750,3,2,ADA,JAKSEL
5800000000.0,122,289,3,3,ADA,JAKSEL
33000000000.0,1100,800,5,5,ADA,JAKSEL
22500000000.0,500,536,5,5,ADA,JAKSEL
4200000000.0,110,165,4,3,ADA,JAKSEL
16950000000.0,387,250,1,1,ADA,JAKSEL
13000000000.0,616,650,4,4,ADA,JAKSEL
18000000000.0,670,385,4,4,ADA,JAKSEL
7000000000.0,140,215,4,4,ADA,JAKSEL
5000000000.0,234,350,4,4,ADA,JAKSEL
38500000000.0,1420,550,8,5,ADA,JAKSEL
15000000000.0,395,420,4,4,ADA,JAKSEL
13500000000.0,230,400,3,2,ADA,JAKSEL
13000000000.0,372,450,4,4,ADA,JAKSEL
8500000000.0,250,400,4,4,ADA,JAKSEL
17000000000.0,786,1000,6,7,TIDAK ADA,JAKSEL
43000000000.0,1350,750,5,5,ADA,JAKSEL
13000000000.0,235,623,4,4,TIDAK ADA,JAKSEL
22000000000.0,1000,800,5,4,TIDAK ADA,JAKSEL
9950000000.0,212,300,4,3,ADA,JAKSEL
12500000000.0,512,350,3,3,ADA,JAKSEL
16000000000.0,578,500,5,4,ADA,JAKSEL
22600000000.0,754,500,4,4,ADA,JAKSEL
75000000000.0,1830,1000,5,4,ADA,JAKSEL
30000000000.0,1100,500,4,4,ADA,JAKSEL
20000000000.0,897,450,4,4,ADA,JAKSEL
15000000000.0,733,140,2,2,ADA,JAKSEL
19000000000.0,435,500,4,4,ADA,JAKSEL
8700000000.0,229,327,4,3,ADA,JAKSEL
25000000000.0,670,671,4,4,TIDAK ADA,JAKSEL
19000000000.0,520,600,4,4,TIDAK ADA,JAKSEL
35000000000.0,900,800,7,5,ADA,JAKSEL
18000000000.0,677,450,4,3,TIDAK ADA,JAKSEL
15000000000.0,415,150,3,2,ADA,JAKSEL
9500000000.0,350,460,6,5,ADA,JAKSEL
25500000000.0,1020,816,5,3,TIDAK ADA,JAKSEL
16000000000.0,1095,450,3,4,ADA,JAKSEL
15000000000.0,940,320,2,2,ADA,JAKSEL
22000000000.0,824,600,7,4,ADA,JAKSEL
